시간,내부온도관측치,내부습도관측치,CO2관측치,EC관측치,외부온도관측치,외부습도관측치,펌프상태,펌프작동남은시간,펌프작동남은시간.1,최근분무량,냉방상태,냉방작동남은시간,난방상태,난방작동남은시간,내부유동팬상태,내부유동팬작동남은시간,외부환기팬상태,외부환기팬작동남은시간,화이트 LED상태,화이트 LED작동남은시간,화이트 LED동작강도,레드 LED상태,레드 LED작동남은시간,레드 LED동작강도,블루 LED상태,블루 LED작동남은시간,블루 LED동작강도,카메라상태,냉방온도,난방온도,기준온도,난방부하,냉방부하,총추정광량,백색광추정광량,적색광추정광량,청색광추정광량
2021-04-06 00:00:00,19.8999996185302,53.4000015258789,393.0,0.921792030334472,20.2000007629394,31.8999996185302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,203.0,0.0,201.0,184.0,0.0,201.0,223.0,0.0,0.0,20.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-06 00:01:00,20.0,53.4000015258789,393.0,0.921792030334472,20.2000007629394,31.8999996185302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,142.0,0.0,201.0,124.0,0.0,201.0,163.0,0.0,0.0,20.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-06 00:02:00,20.1000003814697,53.2999992370605,395.0,0.922569274902343,20.2000007629394,31.8999996185302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,379.0,0.0,201.0,366.0,0.0,201.0,399.0,0.0,0.0,20.0,18.0,19.0,0.0,0.500001907348632,0.0,0.0,0.0,0.0
2021-04-06 00:03:00,20.2000007629394,53.2999992370605,396.0,0.922569274902343,20.2000007629394,31.8999996185302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,319.0,0.0,201.0,298.0,0.0,201.0,333.0,0.0,0.0,20.0,18.0,19.0,0.0,1.00000381469726,0.0,0.0,0.0,0.0
2021-04-06 00:04:00,20.2000007629394,53.2000007629394,397.0,0.923346519470214,20.2000007629394,31.8999996185302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,262.0,0.0,201.0,267.0,0.0,201.0,273.0,0.0,0.0,20.0,18.0,19.0,0.0,1.249999999999995,0.0,0.0,0.0,0.0
2021-04-06 00:05:00,20.2999992370605,53.0,392.0,0.923346519470214,20.3999996185302,31.7999992370605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,196.0,0.0,201.0,236.0,0.0,201.0,215.0,0.0,0.0,20.0,18.0,19.0,0.0,1.49999618530273,0.0,0.0,0.0,0.0
2021-04-06 00:06:00,20.3999996185302,52.7999992370605,394.0,0.921014845371246,20.3999996185302,31.7000007629394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,136.0,0.0,201.0,176.0,0.0,201.0,148.0,0.0,0.0,20.0,18.0,19.0,0.0,1.49999618530273,0.0,0.0,0.0,0.0
2021-04-06 00:07:00,20.3999996185302,52.7000007629394,394.0,0.922569274902343,20.3999996185302,31.6000003814697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,379.0,0.0,201.0,115.0,0.0,201.0,392.0,0.0,0.0,20.0,18.0,19.0,0.0,1.99999809265136,0.0,0.0,0.0,0.0
2021-04-06 00:08:00,20.5,52.599998474121,395.0,0.921792030334472,20.3999996185302,31.6000003814697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,318.0,0.0,201.0,358.0,0.0,201.0,332.0,0.0,0.0,20.0,18.0,19.0,0.0,1.99999809265136,0.0,0.0,0.0,0.0
2021-04-06 00:09:00,20.5,52.599998474121,395.0,0.922569274902343,20.3999996185302,31.6000003814697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,262.0,0.0,201.0,297.0,0.0,201.0,271.0,0.0,0.0,20.0,18.0,19.0,0.0,2.5,0.0,0.0,0.0,0.0
